,Wavelength,Flux,Contour Limit
0,3559.2196859752894,1.8628808e-18,1.5
1,3560.155665009359,1.9404021e-18,1.5
2,3561.091644043429,1.948439e-18,1.5
3,3562.027623077498,1.8784008e-18,1.5
4,3562.963602111568,1.804364e-18,1.5
5,3563.899581145637,1.810057e-18,1.5
6,3564.835560179707,1.793335e-18,1.5
7,3565.7715392137775,1.6860533e-18,1.5
8,3566.707518247846,1.5964367e-18,1.5
9,3567.6434972819166,1.580261e-18,1.5
10,3568.579476315986,1.625708e-18,1.5
11,3569.5154553500556,1.6474572e-18,1.5
12,3570.451434384125,1.7057672e-18,1.5
13,3571.387413418195,1.6865176e-18,1.5
14,3572.3233924522647,1.6675762e-18,1.5
15,3573.259371486334,1.7019092e-18,1.5
16,3574.1953505204037,1.6916828e-18,1.5
17,3575.1313295544733,1.6814535e-18,1.5
18,3576.067308588543,1.6113012e-18,1.5
19,3577.0032876226123,1.6649789e-18,1.5
20,3577.939266656682,1.7265005e-18,1.5
21,3578.875245690752,1.6814356e-18,1.5
22,3579.8112247248223,1.6822634e-18,1.5
23,3580.747203758891,1.6522409e-18,1.5
24,3581.68318279296,1.7272057e-18,1.5
25,3582.619161827031,1.6116924e-18,1.5
26,3583.5551408611004,1.5535987e-18,1.5
27,3584.49111989517,1.6110179e-18,1.5
28,3585.4270989292395,1.6449985e-18,1.5
29,3586.363077963309,1.7238724e-18,1.5
30,3587.299056997379,1.7211168e-18,1.5
31,3588.235036031448,1.8093513e-18,1.5
32,3589.171015065518,1.898298e-18,1.5
33,3590.1069940995876,1.9017527e-18,1.5
34,3591.042973133657,1.9155826e-18,1.5
35,3591.9789521677267,1.88137e-18,1.5
36,3592.914931201796,1.893054e-18,1.5
37,3593.8509102358657,1.9363783e-18,1.5
38,3594.7868892699357,1.9673093e-18,1.5
39,3595.722868304005,1.9736165e-18,1.5
40,3596.658847338075,1.9451049e-18,1.5
41,3597.5948263721452,1.981058e-18,1.5
42,3598.530805406214,1.9697658e-18,1.5
43,3599.4667844402843,1.9257976e-18,1.5
44,3600.402763474354,1.85751e-18,1.5
45,3601.3387425084234,1.8627692e-18,1.5
46,3602.274721542493,1.8477463e-18,1.5
47,3603.2107005765624,1.7979844e-18,1.5
48,3604.146679610632,1.8082824e-18,1.5
49,3605.082658644702,1.802261e-18,1.5
50,3606.0186376787715,1.759724e-18,1.5
51,3606.954616712841,1.7071855e-18,1.5
52,3607.8905957469105,1.6922614e-18,1.5
