ID,RA,Dec,z,Category,Ha_in,n_spaxels,n_disk,n_spaxels_disk,flux_spaxels,flux_disk,flux_spaxels_disk,sn_5635,sn_4050,bad_sinopsis,bad_contours,bad_gband,nad_notch,mag_disk,sinopsis_fraction,sinopsis_fraction_flag
A2744_24,00:14:17.86,-30:23:01.1,0.2555,Field Control,True,318.0,401.0,318.0,2048.83642578125,2138.964111328125,2048.83642578125,39.485877990722656,21.740863800048828,False,False,False,False,20.872598815527756,0.7930174563591023,True
A2744_25,00:14:20.40,-30:23:01.4,0.2394,Field Control,True,619.0,314.0,313.0,1366.753662109375,1225.947509765625,1224.3994140625,25.919260025024414,24.949024200439453,False,False,False,False,21.476927870541207,0.9968152866242038,True
A2744_26,00:14:23.75,-30:24:57.2,0.2544,Field Control,True,215.0,87.0,87.0,229.46136474609375,197.2338409423828,197.2338409423828,16.00847625732422,10.395148277282715,False,False,False,False,23.460653979360842,1.0,True
A2744_27,00:14:18.94,-30:23:13.6,0.268,Field Control,True,163.0,81.0,76.0,645.2479248046875,191.04574584960938,188.04327392578125,12.251776695251465,10.140547752380371,False,False,False,False,23.495264131576477,0.9382716049382716,True
A2744_28,00:14:25.30,-30:23:49.2,0.2384,Field Control,True,126.0,47.0,45.0,60.16962432861328,39.8436393737793,38.43617630004883,3.1328179836273193,2.905303955078125,False,False,False,False,25.197210058479666,0.9574468085106383,True
A2744_29,00:14:22.43,-30:23:25.4,0.239,Field Control,True,226.0,82.0,26.0,565.195068359375,161.49826049804688,52.160491943359375,14.586474418640137,5.539323329925537,False,False,False,False,23.67768793781479,0.3170731707317073,False
A2744_30,00:14:19.28,-30:24:07.9,0.3565,Field Control,True,57.0,46.0,38.0,36.57451629638672,37.08953094482422,30.95760154724121,1.6597448587417603,4.553310871124268,False,False,False,False,25.274979207478236,0.8260869565217391,True
A2744_31,00:14:19.17,-30:23:42.8,0.45,Field Control,False,90.0,22.0,21.0,248.5160369873047,16.555931091308594,16.12105941772461,2.237246513366699,2.678093194961548,False,False,False,False,26.150723534746213,0.9545454545454546,True
A370_01,02:39:54.452,-01:33:36.41,0.3738,Jellyfish,True,717.0,504.0,438.0,3060.980712890625,3006.22412109375,2885.478759765625,14.237703323364258,26.021263122558594,False,False,False,False,20.503054172214995,0.8690476190476191,True
A370_02,02:39:56.76,-01:34:28.28,0.4221,Jellyfish,True,269.0,74.0,74.0,325.63916015625,222.01010131835938,222.01010131835938,8.739027976989746,9.172828674316406,False,False,False,False,23.332175722495748,1.0,True
A370_03,02:39:54.044,-01:33:52.09,0.3573,Jellyfish,True,306.0,139.0,117.0,849.8712768554688,746.8828125,716.6732177734375,28.923017501831055,30.758596420288086,False,False,False,False,22.0149763964683,0.841726618705036,True
A370_04,02:39:51.370,-01:33:59.09,0.361,Post-Starburst,True,70.0,142.0,70.0,324.6912536621094,420.69232177734375,324.6912536621094,19.774803161621094,21.360130310058594,False,False,False,False,22.638196096032136,0.49295774647887325,False
A370_05,02:39:53.544,-01:34:31.75,0.39,Post-Starburst,True,86.0,164.0,86.0,418.977294921875,494.0684814453125,418.977294921875,27.49480628967285,20.685060501098633,False,False,False,False,22.46363968646554,0.524390243902439,True
A370_06,02:39:51.031,-01:33:45.05,0.35926,Jellyfish,True,366.0,230.0,177.0,1430.7581787109375,1267.536865234375,1196.798095703125,28.51812171936035,32.75637435913086,False,False,False,False,21.4407060618637,0.7695652173913043,True
A370_07,02:39:53.266,-01:34:47.27,0.3803,Jellyfish,True,382.0,103.0,103.0,1085.82421875,371.6473388671875,371.6473388671875,28.42010498046875,28.442174911499023,False,False,False,False,22.772779991451486,1.0,True
A370_08,02:39:54.759,-01:34:53.29,0.3872,Jellyfish,True,871.0,236.0,192.0,1230.1224365234375,838.5062255859375,788.2154541015625,33.06184768676758,26.629487991333008,False,False,False,False,21.889341831494203,0.8135593220338984,True
A370_09,02:39:53.334,-01:35:21.56,0.3454,Jellyfish,True,389.0,226.0,226.0,767.5786743164062,714.6241455078125,714.6241455078125,23.76336669921875,30.550247192382812,False,False,False,False,22.062913345235387,1.0,True
A370_10,02:39:50.77,-01:34:00.5,0.3679,Cluster Control,True,125.0,65.0,65.0,203.10369873046875,144.62759399414062,144.62759399414062,4.152191162109375,6.9513068199157715,False,False,False,False,23.79747965656225,1.0,True
A370_11,02:39:54.88,-01:33:42.8,0.3826,Cluster Control,True,142.0,42.0,42.0,144.9907989501953,88.40032958984375,88.40032958984375,8.174406051635742,5.988106727600098,False,False,False,False,24.331972849477545,1.0,True
A370_12,02:39:53.78,-01:35:40.2,0.3746,Cluster Control,True,102.0,37.0,37.0,80.96681213378906,61.50594711303711,61.50594711303711,2.9726858139038086,5.049062252044678,False,False,False,False,24.725814783886413,1.0,True
A370_13,02:39:54.59,-01:35:24.9,0.3643,Cluster Control,True,19.0,66.0,19.0,64.6998519897461,112.02632904052734,64.6998519897461,13.752083778381348,12.823761940002441,False,False,False,False,24.074807297725435,0.2878787878787879,False
A370_14,02:39:54.05,-01:35:16.5,0.358,Quiescent,True,37.0,93.0,37.0,123.00225067138672,165.13568115234375,123.00225067138672,19.38539695739746,14.346996307373047,False,False,False,False,23.653505254646937,0.3978494623655914,False
A370_15,02:39:54.83,-01:35:02.1,0.3605,Cluster Control,True,154.0,51.0,51.0,133.77247619628906,103.03174591064453,103.03174591064453,9.694040298461914,9.167126655578613,False,False,False,False,24.165679912135047,1.0,True
A370_16,02:39:56.47,-01:34:49.7,0.3863,Quiescent,True,36.0,37.0,35.0,63.52465057373047,64.87681579589844,63.07368469238281,3.3386902809143066,7.045500755310059,False,False,False,False,24.667883744506717,0.9459459459459459,True
A370_17,02:39:51.09,-01:34:42.2,0.3803,Jellyfish,True,156.0,50.0,50.0,128.60147094726562,81.40118408203125,81.40118408203125,5.0606794357299805,6.225950241088867,False,False,False,False,24.421530754323847,1.0,True
A370_18,02:39:49.36,-01:34:35.1,0.3688,Cluster Control,True,32.0,25.0,25.0,68.18890380859375,61.735530853271484,61.735530853271484,5.0673017501831055,5.351830005645752,False,False,False,False,24.721769592750196,1.0,True
A370_19,02:39:49.67,-01:34:47.2,0.375,Quiescent,True,72.0,73.0,67.0,221.767822265625,224.2728729248047,216.11203002929688,12.028694152832031,10.391273498535156,False,False,False,False,23.321165694101754,0.9178082191780822,True
A370_20,02:39:52.35,-01:34:16.0,0.3721,Quiescent,True,43.0,28.0,22.0,77.27980041503906,56.90715408325195,48.19968032836914,13.897287368774414,9.280198097229004,False,False,False,False,24.81019039215056,0.7857142857142857,True
A370_21,02:39:54.15,-01:34:00.2,0.3683,Quiescent,True,64.0,112.0,57.0,136.10250854492188,178.34048461914062,134.38967895507812,20.054197311401367,10.70114517211914,False,False,False,False,23.569982703924612,0.5089285714285714,True
A370_22,02:39:52.93,-01:33:51.3,0.3715,Quiescent,True,54.0,85.0,47.0,197.44705200195312,228.90960693359375,189.14865112304688,21.537860870361328,15.304834365844727,False,False,False,False,23.29894751097129,0.5529411764705883,True
A370_23,02:39:56.77,-01:34:28.0,0.4219,Field Control,True,196.0,79.0,79.0,295.68658447265625,229.6167449951172,229.6167449951172,8.53891372680664,8.911928176879883,False,False,False,False,23.2955986696207,1.0,True
A370_24,02:39:55.66,-01:34:19.8,0.4227,Pending,True,30.0,19.0,19.0,55.95781707763672,40.171730041503906,40.171730041503906,6.648326873779297,7.937627792358398,False,False,False,False,25.18830622124513,1.0,True
AS1063NE_01,22:48:44.22,-44:31:41.0,0.3328,Post-Starburst,True,258.0,186.0,186.0,1427.7576904296875,1280.7275390625,1280.7275390625,31.436304092407227,30.405303955078125,False,False,False,False,21.429465689764665,1.0,True
AS1063NE_02,22:48:43.11,-44:31:22.98,0.3397,Post-Starburst,True,71.0,77.0,71.0,310.22418212890625,323.20758056640625,310.22418212890625,15.873002052307129,17.257596969604492,False,False,False,False,22.92440371445331,0.922077922077922,True
AS1063NE_05,22:48:45.36,-44:31:09.0,0.3424,Cluster Control,True,183.0,45.0,45.0,174.96270751953125,80.97618865966797,80.97618865966797,4.259692668914795,8.058975219726562,False,False,False,False,24.427214230571796,1.0,True
AS1063NE_06,22:48:45.25,-44:31:03.9,0.3424,Jellyfish,True,144.0,54.0,52.0,121.42729187011719,73.49195861816406,71.44759368896484,3.1357829570770264,6.127396106719971,False,False,False,False,24.5325080054992,0.9629629629629629,True
AS1063NE_07,22:48:46.31,-44:31:19.3,0.3424,Truncated Disk,True,486.0,65.0,65.0,398.01171875,124.82987976074219,124.82987976074219,5.943170547485352,10.649455070495605,False,False,False,False,23.95731117957895,1.0,True
AS1063NE_08,22:48:46.61,-44:31:19.8,0.3424,Cluster Control,True,484.0,31.0,31.0,393.1797790527344,48.15545654296875,48.15545654296875,5.262795925140381,6.416882514953613,False,False,False,False,24.991493798574922,1.0,True
AS1063SW_01,22:48:40.11,-44:32:04.6,0.3267,Post-Starburst,True,116.0,168.0,109.0,539.0057983398438,626.1590576171875,519.328125,19.679655075073242,21.556854248046875,False,False,False,False,22.206395892078227,0.6488095238095238,True
AS1063SW_02,22:48:42.5,-44:32:13,0.3365,Truncated Disk,True,391.0,318.0,305.0,2238.86474609375,2158.225341796875,2084.73095703125,32.35730743408203,25.195573806762695,False,False,False,False,20.8628655908008,0.9591194968553459,True
AS1063SW_03,22:48:42.12,-44:32:07.4,0.3359,Cluster Control,True,529.0,126.0,126.0,1471.86572265625,717.91162109375,717.91162109375,22.792213439941406,26.93989372253418,False,False,False,False,22.057930101375103,1.0,True
AS1063SW_04,22:48:42.50,-44:32:13.0,0.3359,Truncated Disk,True,547.0,237.0,237.0,2653.780029296875,1980.699951171875,1980.699951171875,34.84573745727539,25.31511878967285,False,False,False,False,20.956060832867045,1.0,True
